id,price,property_type,room_type,accommodates,bedrooms,beds,bathrooms_text,amenities,review_scores_rating,number_of_reviews,neighbourhood_cleansed,flag_bedrooms,flag_beds,flag_review_scores_rating,n_bathrooms,flag_n_bathrooms,d_wifi,d_air_conditioning,d_kitchen,d_heating,d_washer,d_elevator,d_tv,ln_price
430703,836.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""fire extinguisher"", ""kitchen"", ""wifi"", ""hair dryer"", ""air conditioning"", ""self check-in"", ""essentials"", ""patio or balcony"", ""hot water"", ""cooking basics"", ""lockbox"", ""shampoo"", ""dedicated workspace"", ""washer"", ""dryer"", ""dishes and silverware"", ""hangers"", ""refrigerator"", ""smoking allowed"", ""tv with standard cable"", ""iron""]",4.69,61,Bang Kho laen,0,0,0,1.0,0,1,1,1,0,1,0,1,6.728628613084702
430706,954.0,Entire rental unit,Entire home/apt,3,1.0,1.0,,"[""iron"", ""dedicated workspace"", ""self check-in"", ""air conditioning"", ""cooking basics"", ""lockbox"", ""hair dryer"", ""tv"", ""wifi""]",5.0,8,Bang Kho laen,0,0,0,1.0,1,1,1,0,0,0,0,1,6.860663671448287
449782,801.0,Entire rental unit,Entire home/apt,2,0.0,0.0,1 bath,"[""fire extinguisher"", ""kitchen"", ""wifi"", ""hair dryer"", ""air conditioning"", ""self check-in"", ""essentials"", ""patio or balcony"", ""hot water"", ""cooking basics"", ""lockbox"", ""shampoo"", ""dedicated workspace"", ""washer"", ""dryer"", ""dishes and silverware"", ""hangers"", ""refrigerator"", ""40 inch tv with standard cable"", ""iron""]",4.57,68,Bang Kho laen,0,0,0,1.0,0,1,1,1,0,1,0,1,6.68586094706836
449793,765.0,Entire rental unit,Entire home/apt,2,1.0,0.0,1 bath,"[""tv with standard cable"", ""dedicated workspace"", ""self check-in"", ""air conditioning"", ""washer"", ""lockbox"", ""wifi"", ""dryer"", ""hair dryer""]",4.64,16,Bang Kho laen,0,0,0,1.0,0,1,1,0,0,1,0,1,6.639875833826536
449826,750.0,Entire loft,Entire home/apt,2,1.0,1.0,1 bath,"[""fire extinguisher"", ""tv with standard cable"", ""dedicated workspace"", ""wifi"", ""self check-in"", ""air conditioning"", ""shampoo"", ""lockbox"", ""patio or balcony"", ""bed linens"", ""essentials"", ""hangers"", ""washer"", ""hair dryer"", ""backyard"", ""dishes and silverware"", ""iron"", ""dryer"", ""hot water"", ""cooking basics"", ""kitchen"", ""refrigerator""]",4.64,43,Bang Kho laen,0,0,0,1.0,0,1,1,1,0,1,0,1,6.620073206530356
450464,790.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""dryer"", ""tv with netflix"", ""dishes and silverware"", ""washer"", ""wifi"", ""shampoo"", ""hair dryer"", ""self check-in"", ""cooking basics"", ""fire extinguisher"", ""essentials"", ""dedicated workspace"", ""luggage dropoff allowed"", ""patio or balcony"", ""air conditioning"", ""lockbox"", ""refrigerator"", ""paid parking off premises"", ""hot water""]",4.59,59,Bang Kho laen,0,0,0,1.0,0,1,1,0,0,1,0,1,6.672032945461067
580270,750.0,Entire rental unit,Entire home/apt,2,0.0,1.0,1 bath,"[""city skyline view"", ""fire extinguisher"", ""private patio or balcony"", ""paid washer \u2013 in building"", ""bed linens"", ""smoke alarm"", ""drying rack for clothing"", ""portable heater"", ""room-darkening shades"", ""long term stays allowed"", ""luggage dropoff allowed"", ""paid dryer \u2013 in building"", ""hair dryer"", ""portable fans"", ""self check-in"", ""fast wifi \u2013 84 mbps"", ""mini fridge"", ""essentials"", ""private entrance"", ""hot water"", ""body soap"", ""bidet"", ""lockbox"", ""safe"", ""shampoo"", ""mosquito net"", ""dedicated workspace"", ""paid parking lot off premises"", ""cleaning available during stay"", ""carbon monoxide alarm"", ""laundromat nearby"", ""hangers"", ""portable air conditioning"", ""cleaning products"", ""extra pillows and blankets"", ""first aid kit""]",4.68,126,Sathon,0,0,0,1.0,0,1,1,0,0,1,0,0,6.620073206530356
605314,948.0,Entire rental unit,Entire home/apt,3,0.0,1.0,1 bath,"[""city skyline view"", ""fire extinguisher"", ""paid washer \u2013 in building"", ""bed linens"", ""smoke alarm"", ""dining table"", ""drying rack for clothing"", ""portable heater"", ""ski-in/ski-out"", ""room-darkening shades"", ""long term stays allowed"", ""luggage dropoff allowed"", ""paid dryer \u2013 in building"", ""hair dryer"", ""portable fans"", ""self check-in"", ""fast wifi \u2013 84 mbps"", ""mini fridge"", ""essentials"", ""private entrance"", ""outdoor dining area"", ""hot water"", ""body soap"", ""bidet"", ""microwave"", ""outdoor furniture"", ""42 inch hdtv with netflix"", ""lockbox"", ""safe"", ""shampoo"", ""mosquito net"", ""hot water kettle"", ""dedicated workspace"", ""garden view"", ""window guards"", ""paid parking lot off premises"", ""cleaning available during stay"", ""carbon monoxide alarm"", ""books and reading material"", ""laundromat nearby"", ""hangers"", ""portable air conditioning"", ""cleaning products"", ""extra pillows and blankets"", ""first aid kit"", ""clothing storage: closet""]",4.47,461,Sathon,0,0,0,1.0,0,1,1,0,0,1,0,1,6.854354502255021
605343,750.0,Entire rental unit,Entire home/apt,2,0.0,1.0,1 bath,"[""hangers"", ""fast wifi \u2013 82 mbps"", ""cleaning products"", ""extra pillows and blankets"", ""bidet"", ""bed linens"", ""safe"", ""smoke alarm"", ""long term stays allowed"", ""paid washer \u2013 in building"", ""mini fridge"", ""courtyard view"", ""carbon monoxide alarm"", ""hair dryer"", ""shampoo"", ""paid dryer \u2013 in building"", ""laundromat nearby"", ""first aid kit"", ""city skyline view"", ""portable heater"", ""self check-in"", ""hot water kettle"", ""private entrance"", ""cleaning available during stay"", ""room-darkening shades"", ""fire extinguisher"", ""essentials"", ""mosquito net"", ""dedicated workspace"", ""luggage dropoff allowed"", ""portable fans"", ""private patio or balcony"", ""lockbox"", ""hot water"", ""portable air conditioning"", ""paid parking lot off premises""]",4.58,246,Sathon,0,0,0,1.0,0,1,1,0,0,1,0,0,6.620073206530356
722291,857.0,Entire condo,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""stove"", ""free parking on premises"", ""kitchen"", ""pool"", ""smoke alarm"", ""long term stays allowed"", ""coffee maker"", ""dishes and silverware"", ""elevator"", ""carbon monoxide alarm"", ""wifi"", ""shampoo"", ""hair dryer"", ""tv with standard cable"", ""self check-in"", ""cooking basics"", ""building staff"", ""gym"", ""fire extinguisher"", ""essentials"", ""luggage dropoff allowed"", ""air conditioning"", ""refrigerator"", ""hot water""]",4.82,35,Sathon,0,0,0,1.0,0,1,1,1,0,0,1,1,6.75343791859778
788043,720.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""ac - split type ductless system"", ""free washer \u2013 in unit"", ""kitchen"", ""free parking garage on premises \u2013 1 space"", ""extra pillows and blankets"", ""bed linens"", ""wine glasses"", ""toaster"", ""smoke alarm"", ""shared outdoor pool - available all year, open specific hours, infinity"", ""dishes and silverware"", ""elevator"", ""clothing storage: closet and wardrobe"", ""ethernet connection"", ""exercise equipment"", ""hair dryer"", ""wifi"", ""first aid kit"", ""city skyline view"", ""mex electric stove"", ""shared gym in building"", ""hot water kettle"", ""room-darkening shades"", ""essentials"", ""free dryer \u2013 in unit"", ""dedicated workspace"", ""host greets you"", ""hdtv with chromecast, standard cable"", ""portable fans"", ""private patio or balcony"", ""hot water"", ""microwave"", ""panasonic refrigerator""]",4.99,98,Khlong San,0,0,0,1.0,0,1,0,1,0,1,1,1,6.579251212010101
820395,700.0,Entire guesthouse,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""kitchen"", ""pool"", ""shower gel"", ""bed linens"", ""long term stays allowed"", ""dishes and silverware"", ""washer"", ""wifi"", ""shampoo"", ""tv with standard cable"", ""cooking basics"", ""smoking allowed"", ""gym"", ""essentials"", ""air conditioning"", ""host greets you"", ""clothing storage: wardrobe""]",4.8,15,Bang Sue,0,0,0,1.0,0,1,1,1,0,1,0,1,6.551080335043404
858338,850.0,Entire rental unit,Entire home/apt,3,0.0,1.0,1 bath,"[""hangers"", ""cleaning products"", ""extra pillows and blankets"", ""bidet"", ""bed linens"", ""safe"", ""smoke alarm"", ""long term stays allowed"", ""paid washer \u2013 in building"", ""mini fridge"", ""courtyard view"", ""outdoor furniture"", ""carbon monoxide alarm"", ""hair dryer"", ""shampoo"", ""paid dryer \u2013 in building"", ""laundromat nearby"", ""first aid kit"", ""city skyline view"", ""self check-in"", ""hot water kettle"", ""private entrance"", ""cleaning available during stay"", ""body soap"", ""room-darkening shades"", ""fire extinguisher"", ""essentials"", ""mosquito net"", ""dedicated workspace"", ""luggage dropoff allowed"", ""fast wifi \u2013 88 mbps"", ""portable fans"", ""heating"", ""private patio or balcony"", ""hot water"", ""lockbox"", ""microwave"", ""portable air conditioning"", ""paid parking lot off premises""]",4.58,315,Sathon,0,0,0,1.0,0,1,1,0,1,1,0,0,6.745236349484363
866329,728.0,Private room in rental unit,Private room,2,1.0,1.0,1 bath,"[""smoking allowed"", ""tv with standard cable"", ""coffee maker"", ""kitchen"", ""self check-in"", ""pool"", ""air conditioning"", ""washer"", ""elevator"", ""refrigerator"", ""building staff"", ""dryer"", ""exterior security cameras on property""]",4.45,23,Bang Rak,0,0,0,1.0,0,0,1,1,0,1,1,1,6.590301048196686
881208,800.0,Private room in rental unit,Private room,2,1.0,1.0,1 bath,"[""gym"", ""tv with standard cable"", ""free parking on premises"", ""kitchen"", ""pool"", ""air conditioning"", ""heating"", ""washer"", ""elevator"", ""dryer"", ""wifi""]",4.83,0,Bang Rak,0,0,1,1.0,0,1,1,1,1,1,1,1,6.684611727667927
885848,985.0,Entire rental unit,Entire home/apt,2,1.0,3.0,1 bath,"[""elevator"", ""fire extinguisher"", ""private patio or balcony"", ""pool"", ""shared sauna"", ""bed linens"", ""movie theater"", ""smoke alarm"", ""blender"", ""dining table"", ""kitchen"", ""drying rack for clothing"", ""wine glasses"", ""heating - split type ductless system"", ""room-darkening shades"", ""wifi"", ""long term stays allowed"", ""luggage dropoff allowed"", ""ethernet connection"", ""hair dryer"", ""air conditioning"", ""gym"", ""electric stove"", ""freezer"", ""free parking on premises"", ""private entrance"", ""host greets you"", ""hot water"", ""hot tub"", ""bidet"", ""microwave"", ""hot water kettle"", ""dedicated workspace"", ""clothing storage: wardrobe"", ""paid parking off premises"", ""washer"", ""cleaning available during stay"", ""dryer"", ""laundromat nearby"", ""dishes and silverware"", ""hangers"", ""refrigerator"", ""cleaning products"", ""extra pillows and blankets"", ""tv with standard cable"", ""iron""]",4.78,27,Ratchathewi,0,0,0,1.0,0,1,1,1,1,1,1,1,6.892641641172089
1026451,749.0,Entire condo,Entire home/apt,2,1.0,2.0,1 bath,"[""shared patio or balcony"", ""elevator"", ""fire extinguisher"", ""paid parking on premises"", ""bed linens"", ""smoke alarm"", ""kitchen"", ""wifi"", ""long term stays allowed"", ""hair dryer"", ""electric stove"", ""essentials"", ""host greets you"", ""hot water"", ""cooking basics"", ""microwave"", ""free washer \u2013 in unit"", ""shampoo"", ""shared outdoor pool - available all year, open specific hours"", ""carbon monoxide alarm"", ""dishes and silverware"", ""32 inch tv with standard cable"", ""hangers"", ""refrigerator"", ""portable air conditioning"", ""iron""]",4.81,561,Sathon,0,0,0,1.0,0,1,1,1,0,1,1,1,6.618738983517219
1057173,950.0,Entire condo,Entire home/apt,2,1.0,1.0,1 bath,"[""smart lock"", ""iron"", ""hangers"", ""stove"", ""free parking on premises"", ""kitchen"", ""bed linens"", ""freezer"", ""shared hot tub"", ""central air conditioning"", ""smoke alarm"", ""long term stays allowed"", ""dishes and silverware"", ""elevator"", ""shared pool"", ""carbon monoxide alarm"", ""exercise equipment"", ""wifi"", ""hair dryer"", ""tv with standard cable"", ""washer \u2013\u00a0in building"", ""city skyline view"", ""refrigerator"", ""private gym in building"", ""self check-in"", ""hot water kettle"", ""cooking basics"", ""fire extinguisher"", ""essentials"", ""heating"", ""dryer \u2013 in building"", ""clothing storage: closet"", ""hot water"", ""private patio or balcony"", ""microwave"", ""exterior security cameras on property""]",4.64,194,Bang Na,0,0,0,1.0,0,1,1,1,1,1,1,1,6.856461984594587
1187726,800.0,Entire condo,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""kitchen"", ""dryer"", ""smoke alarm"", ""washer"", ""elevator"", ""shared pool"", ""wifi"", ""shampoo"", ""hair dryer"", ""private entrance"", ""gym"", ""fire extinguisher"", ""essentials"", ""dedicated workspace"", ""air conditioning"", ""host greets you"", ""refrigerator"", ""hot water""]",4.58,19,Phaya Thai,0,0,0,1.0,0,1,1,1,0,1,1,0,6.684611727667927
1218842,959.0,Private room in rental unit,Private room,2,1.0,1.0,1 bath,"[""shampoo"", ""dryer"", ""fire extinguisher"", ""essentials"", ""air conditioning"", ""washer"", ""elevator"", ""tv"", ""wifi""]",5.0,1,Phaya Thai,0,0,0,1.0,0,1,1,0,0,1,1,1,6.8658910748834385
1296322,713.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""fire extinguisher"", ""paid washer \u2013 in building"", ""bed linens"", ""room-darkening shades"", ""wifi"", ""paid dryer \u2013 in building"", ""hair dryer"", ""air conditioning"", ""self check-in"", ""mini fridge"", ""hot water"", ""body soap"", ""bidet"", ""lockbox"", ""mosquito net"", ""dedicated workspace"", ""dishes and silverware"", ""hangers"", ""hdtv with netflix""]",4.46,236,Sathon,0,0,0,1.0,0,1,1,0,0,1,0,1,6.569481420414296
1338281,993.0,Entire loft,Entire home/apt,3,2.0,1.0,1 bath,"[""fire extinguisher"", ""private patio or balcony"", ""backyard"", ""paid washer \u2013 in building"", ""kitchen"", ""wifi"", ""long term stays allowed"", ""paid dryer \u2013 in building"", ""hair dryer"", ""air conditioning"", ""self check-in"", ""iron"", ""essentials"", ""hot water"", ""cooking basics"", ""lockbox"", ""shampoo"", ""dedicated workspace"", ""dishes and silverware"", ""mitsubishi/toshiba or equivalent refrigerator"", ""hangers"", ""tv with standard cable, netflix""]",4.4,138,Sathon,0,0,0,1.0,0,1,1,1,0,1,0,1,6.900730664045173
1338489,941.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""kitchen"", ""dryer"", ""dishes and silverware"", ""washer"", ""wifi"", ""shampoo"", ""hair dryer"", ""tv with standard cable"", ""self check-in"", ""cooking basics"", ""essentials"", ""dedicated workspace"", ""patio or balcony"", ""air conditioning"", ""lockbox"", ""refrigerator"", ""hot water""]",4.55,182,Sathon,0,0,0,1.0,0,1,1,1,0,1,0,1,6.846943139585379
1350390,891.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""ac - split type ductless system"", ""kitchen"", ""bidet"", ""shower gel"", ""paid washer \u2013 in building"", ""dishes and silverware"", ""drying rack for clothing"", ""wifi"", ""hair dryer"", ""paid dryer \u2013 in building"", ""tv with standard cable"", ""self check-in"", ""cooking basics"", ""body soap"", ""essentials"", ""dedicated workspace"", ""patio or balcony"", ""heating"", ""lockbox"", ""refrigerator"", ""hot water""]",4.56,145,Sathon,0,0,0,1.0,0,1,0,1,1,1,0,1,6.792344427470809
1394285,808.0,Private room in rental unit,Private room,2,1.0,1.0,1 bath,"[""shampoo"", ""first aid kit"", ""tv with standard cable"", ""iron"", ""smoke alarm"", ""fire extinguisher"", ""gym"", ""dedicated workspace"", ""free parking on premises"", ""pool"", ""air conditioning"", ""heating"", ""washer"", ""elevator"", ""wifi"", ""lock on bedroom door"", ""hair dryer""]",3.92,13,Suanluang,0,0,0,1.0,0,1,1,0,1,1,1,1,6.694562058521095
1395513,914.0,Private room in rental unit,Private room,2,1.0,1.0,1 bath,"[""free parking on premises"", ""iron"", ""elevator"", ""gym"", ""smoking allowed"", ""wifi"", ""shared pool"", ""air conditioning"", ""washer"", ""tv with standard cable""]",4.83,0,Suanluang,0,0,1,1.0,0,1,1,0,0,1,1,1,6.81783057145415
1400351,616.0,Private room in rental unit,Private room,2,1.0,1.0,1 bath,"[""smoking allowed"", ""iron"", ""tv with standard cable"", ""free parking on premises"", ""air conditioning"", ""washer"", ""wifi""]",5.0,3,Bueng Kum,0,0,0,1.0,0,1,1,0,0,1,0,1,6.423246963533519
1452584,997.0,Private room in rental unit,Private room,1,1.0,1.0,2 baths,"[""shampoo"", ""smoking allowed"", ""first aid kit"", ""tv with standard cable"", ""essentials"", ""free parking on premises"", ""hot tub"", ""kitchen"", ""pool"", ""air conditioning"", ""heating"", ""washer"", ""elevator"", ""breakfast"", ""dryer"", ""pets allowed"", ""wifi""]",5.0,1,Vadhana,0,0,0,2.0,0,1,1,1,1,1,1,1,6.904750769961838
1457235,884.0,Entire serviced apartment,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""ac - split type ductless system"", ""kitchenette"", ""ceiling fan"", ""bidet"", ""60 inch hdtv with standard cable, netflix"", ""shower gel"", ""bed linens"", ""safe"", ""smoke alarm"", ""long term stays allowed"", ""paid washer \u2013 in building"", ""dishes and silverware"", ""drying rack for clothing"", ""hitachi 6.4q refrigerator"", ""carbon monoxide alarm"", ""hair dryer"", ""shampoo"", ""paid dryer \u2013 in building"", ""laundromat nearby"", ""self check-in"", ""hot water kettle"", ""dining table"", ""room-darkening shades"", ""fast wifi \u2013 181 mbps"", ""fire extinguisher"", ""mosquito net"", ""dedicated workspace"", ""clothing storage: closet"", ""private patio or balcony"", ""hot water"", ""lockbox"", ""microwave""]",4.65,20,Bang Kho laen,0,0,0,1.0,0,1,0,1,0,1,0,1,6.784457062637643
1638413,800.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""shampoo"", ""iron"", ""hangers"", ""tv with standard cable"", ""paid washer \u2013 in building"", ""essentials"", ""dedicated workspace"", ""luggage dropoff allowed"", ""kitchen"", ""self check-in"", ""air conditioning"", ""cooking basics"", ""lockbox"", ""hot water"", ""wifi"", ""dryer"", ""hair dryer""]",4.46,230,Sathon,0,0,0,1.0,0,1,1,1,0,1,0,1,6.684611727667927
1661636,658.0,Entire rental unit,Entire home/apt,1,1.0,1.0,1 bath,"[""city skyline view"", ""fire extinguisher"", ""paid washer \u2013 in building"", ""bed linens"", ""smoke alarm"", ""dining table"", ""drying rack for clothing"", ""portable heater"", ""room-darkening shades"", ""long term stays allowed"", ""luggage dropoff allowed"", ""paid dryer \u2013 in building"", ""hair dryer"", ""ethernet connection"", ""courtyard view"", ""portable fans"", ""self check-in"", ""essentials"", ""private entrance"", ""fast wifi \u2013 142 mbps"", ""hot water"", ""cooking basics"", ""bidet"", ""lockbox"", ""shampoo"", ""hot water kettle"", ""dedicated workspace"", ""clothing storage: wardrobe"", ""window guards"", ""cleaning available during stay"", ""carbon monoxide alarm"", ""laundromat nearby"", ""dishes and silverware"", ""hangers"", ""refrigerator"", ""portable air conditioning"", ""cleaning products"", ""first aid kit""]",4.72,254,Sathon,0,0,0,1.0,0,1,1,0,0,1,0,0,6.489204931325317
